upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
8901595851218,Chings Veg Hakka Noodles,0.7600,1.4900,,,,,,,,184,,1,,,,,False,False,True,0,,,,,12.0000,Noodles & Vermicelli,,Premier Foods,,,,,False,False,1,3,,,,,False,1167,,,,,,,,,,
8901595852321,Chings Chilli Vinegar Sauce,1.3300,1.9900,,,,,,,,202,,,,,,,False,False,True,0,,,,,21.0000,Pickle & Sauce,,,,,,,False,False,1,,,,,,False,1168,,,,False,,,,,,
8901595852338,Chings Green Chilli Sauce,1.6666,2.9900,,,,,,,,202,,1,24,,,,False,False,True,0,,,,40.00,24.0000,Pickle & Sauce,,Premier Foods,,,,,False,False,1,4,,,,,False,1693,,,,,,,,,,
8901595862726,Chings Dark Soy Sauce,1.5000,2.2900,,,,,,,,202,,,,,,,False,False,True,0,,,,,7.0000,Pickle & Sauce,,,,,,,False,False,1,,,,,,False,1169,,,,False,,,,,,
8901595862733,Chings Green Chilli Sauce,1.6700,2.4900,,,,,,,,202,,1,,,,,False,False,True,0,,,,,0.0000,Pickle & Sauce,,Premier Foods,,,,,False,False,1,,,,,,False,1170,,,,False,,,,,,
8901595862740,Chings Red Chilli Sauce,1.4500,2.4900,,,,,,,,202,,1,,,,,False,False,True,0,,,,,6.0000,Pickle & Sauce,,Premier Foods,,,,,False,False,1,3,,,,,False,1171,,,,,,,,,,
8901595862962,Chings Schezwan Chutney 250g,1.8400,2.6900,,,,,,,,202,,12,,,,,False,False,False,0,,,,,12.0000,Pickle & Sauce,,House of Spice,,,,,False,False,1,5,,,,,False,1172,,,,,,,,,,
8901595873241,Chings Schezwan Stir Fry Hot sauce,1.6200,2.9900,,,,,,,,202,,1,,,,,False,False,True,0,,,,,24.0000,Pickle & Sauce,,Premier Foods,,,,,False,False,1,3,,,,,False,1173,,,,,,,,,,
8901595937035,Chings Veg Hakka Noodles 840 gm,3.1600,4.7900,,,,,,,,184,,2,,,,,False,False,True,0,,,,,3.0000,Noodles & Vermicelli,,Raja Foods,,,,,False,False,1,4,,,,,False,1174,,,,,,,,,,
8901595961412,Chings Soup Hot & Sour Veg 55g,1.0800,1.4900,,,,,,,,202,,,,,,,False,False,True,0,,,,,2.0000,Pickle & Sauce,,,,,,,False,False,1,,,,,,False,1175,,,,False,,,,,,
8901595961436,Chings Sweet Corn soup 55g,1.0800,1.4900,,,,,,,,202,,,,,,,False,False,True,0,,,,,2.0000,Pickle & Sauce,,,,,,,False,False,1,,,,,,False,1176,,,,False,,,,,,
8901595963348,Chings Manchurian - Noodles,1.0000,2.4900,,,,,,,,184,,,,,,,False,False,True,0,,,,,20.0000,Noodles & Vermicelli,,,,,,,False,False,1,,,,,,False,1177,,,,False,,,,,,
8901595963355,Chings Schezwan - Noodles,1.0000,2.4900,,,,,,,,184,,,,,,,False,False,True,0,,,,,24.0000,Noodles & Vermicelli,,,,,,,False,False,1,,,,,,False,1296,,,,False,,,,,,
8901595963362,Chings Hot Garlic-Instant Noodles,1.0000,2.4900,,,,,,,,184,,,,,,,False,False,True,0,,,,,22.0000,Noodles & Vermicelli,,,,,,,False,False,1,,,,,,False,1297,,,,False,,,,,,
8901595963416,Chings Singapore Curry - Noodle,1.0000,2.4900,,,,,,,,184,,,,,,,False,False,True,0,,,,,32.0000,Noodles & Vermicelli,,,,,,,False,False,1,,,,,,False,1298,,,,False,,,,,,
8901595972135,Chilli Chicken Masala 20g,0.2800,1.4900,,,,,,,,185,,,,,,,False,False,True,0,,,,,40.0000,Spice Mix,,,,,,,False,False,1,,,,,,False,1299,,,,False,,,,,,
8901595972210,Chings Schezwan Fried Rice Msl,1.4000,2.4900,,,,,,,,185,,1,10,,,,False,False,True,0,,,,14.00,5.0000,Spice Mix,,Premier Foods,,,,,False,False,1,4,,,,,False,1300,,,,,,,,,,
8901662023524,Suhana Chat Masala 100gm,1.6000,2.4900,,,,,,,,185,,,10,,,,False,False,True,0,,,,16.00,9.0000,Spice Mix,,,,,,,False,False,1,5,,,,,False,1831,,,,,,,,,,
8901696060236,Kitchen King Sona Masoori Rice,15.0000,21.9900,,,,,,,,178,,7,,,,,False,False,True,0,,,,,1.0000,Rice & Millets,,Moghul Foods,,,,,False,False,1,1,,,,,False,1301,,,,,,,,,,
8901701110109,Hesh Neem powder,1.4000,2.4900,,,,,,,,198,,7,,,,,False,False,True,,,,,,2.0000,Personal Care,,Moghul Foods,,,,,False,False,1,2,,,,,False,1302,,,,,,,,,,
8901701136109,Hesh Sandal powder,1.4000,2.4900,,,,,,,,198,,1,,,,,False,False,True,,,,,,7.0000,Personal Care,,Premier Foods,,,,,False,False,1,3,,,,,False,1303,,,,,,,,,,
8901701137106,Hesh Ubtan Powder,1.1600,2.4900,,,,,,,,198,,7,,,,,False,False,True,,,,,,9.0000,Personal Care,,Moghul Foods,,,,,False,False,1,3,,,,,False,1304,,,,,,,,,,
8901725121228,Aashirvad Select Atta 11lb,10.5000,13.9900,,,,,,,,174,,7,,,,,False,False,True,0,,,,,2.0000,Flour,,Moghul Foods,,,,,False,False,1,1,,,,,False,1305,,,,,,,,,,
8901745107554,RKG Pure Cow Ghee 830 ml,12.7900,17.9900,,,,,,,,176,,14,,,,,False,False,True,0,,,,0.00,4.0000,Cooking Oil & Ghee,,Vadilal,,,,,False,False,1,1,,,,,False,1306,,,,,,,,,,
